Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover;Bad Destination
1;9;-5794.469;0;51.33335;51.33335;17.11112;69.99995;69.99995;69.99995;3;1;50;60;-2000;-904.4687;-3000
2;11;-12095.45;0;192.3334;192.3334;27.4762;26.00001;26.00001;26.00001;7;1;50;140;-8000;-785.4525;-3500
3;12;-8276.862;0;56.66666;56.66666;9.444443;85.33339;85.33339;28.44446;6;3;150;120;-4000;-1046.863;-3500
4;13;-11988.17;0;69.33336;69.33336;11.55556;63.33324;63.33324;63.33324;6;1;50;120;-8000;-658.1722;-3500
5;11;-14781.72;0;136.6666;136.6666;15.18518;0;0;NaN;9;0;0;180;-10000;-961.717;-4000
6;11;-7966.575;0;37.33332;37.33332;9.333331;149.6666;149.6666;37.41665;4;4;200;80;-4000;-1246.574;-3000
7;14;-13104.5;0;160.9999;160.9999;32.19999;36.16668;36.16668;36.16668;5;1;50;100;-8000;-754.498;-4500
8;17;-20290.01;0;107.6667;107.6667;21.53334;130.3333;130.3333;32.58333;5;4;200;100;-14000;-1090.01;-5500
9;13;-19310.54;0;7.333334;7.333334;7.333334;0;0;NaN;1;0;0;20;-12000;-1330.538;-6000
10;9;-3549.237;0;186.3332;186.3332;23.29165;147.6666;147.6666;49.22219;8;3;150;160;-2000;-359.2368;-1500
11;10;-3936.025;0;129;129;14.33333;151.8333;151.8333;30.36666;9;5;250;180;-2000;-366.0252;-2000
12;9;-4112.503;0;142.9999;142.9999;17.87498;141.9999;141.9999;35.49997;8;4;200;160;-2000;-472.5028;-2000
13;11;-6480.871;0;92.99998;92.99998;13.28571;35.00001;35.00001;35.00001;7;1;50;140;-4000;-670.8706;-2000
14;13;-12059.63;0;26;26;6.499999;0;0;NaN;4;0;0;80;-6000;-1139.634;-5000
15;11;-11281.8;0;275.6667;275.6667;22.97222;422.1667;422.1667;60.30954;12;7;350;240;-8000;-371.8025;-3500
16;11;-6976.732;0;208.3333;208.3333;17.36111;76;76;25.33333;12;3;150;240;-4000;-866.7329;-2500
17;20;-22509.05;0;156;156;19.5;38.00001;38.00001;19;8;2;100;160;-16000;-769.0496;-6000
