Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover;Bad Destination
1;10;-5615.074;0;118.6667;118.6667;23.73334;33.00003;33.00003;33.00003;5;1;50;100;-2000;-765.0736;-3000
2;9;-4899.222;0;213.3332;213.3332;30.47617;124.3332;124.3332;41.4444;7;3;150;140;-2000;-689.2214;-2500
3;10;-8159.738;0;163;163;20.375;116;116;29;8;4;200;160;-6000;-519.7382;-2000
4;10;-4917.563;0;258.9998;258.9998;32.37497;51.50003;51.50003;17.16668;8;3;150;160;-2000;-727.5629;-2500
5;10;-8999.762;0;243.3332;243.3332;30.41665;166.3332;166.3332;41.58329;8;4;200;160;-6000;-359.7614;-3000
6;11;-6995.821;0;109.6666;109.6666;21.93332;54.50002;54.50002;27.25001;5;2;100;100;-4000;-695.8212;-2500
7;10;-11644.04;0;214.3333;214.3333;30.61905;68.66666;68.66666;34.33333;7;2;100;140;-8000;-884.0341;-3000
8;12;-11674.05;0;192.3332;192.3332;27.47617;116.3333;116.3333;38.77777;7;3;150;140;-8000;-464.0533;-3500
9;15;-9754.882;0;155.6667;155.6667;25.94444;138.9999;138.9999;46.3333;6;3;150;120;-4000;-1024.882;-5000
10;11;-9544.811;0;130;130;18.57143;200;200;40;7;5;250;140;-6000;-934.8101;-3000
11;8;-1745.151;0;193.3333;193.3333;21.48148;171.5001;171.5001;34.30001;9;5;250;180;0;-675.1514;-1500
12;13;-7010.652;0;104.6667;104.6667;14.95238;63.66664;63.66664;31.83332;7;2;100;140;-4000;-750.6524;-2500
13;15;-19157.44;0;132;132;21.99999;53.33337;53.33337;26.66669;6;2;100;120;-14000;-877.4441;-4500
14;14;-7575.885;0;74.66668;74.66668;8.296298;24.66666;24.66666;12.33333;9;2;100;180;-4000;-855.8848;-3000
15;11;-6108.577;0;136.3333;136.3333;12.39394;305.9998;305.9998;43.71426;11;7;350;220;-4000;-178.5765;-2500
16;11;-6303.678;0;134.6667;134.6667;16.83333;72.50002;72.50002;24.16667;8;3;150;160;-4000;-613.6784;-2000
17;12;-10594.9;0;191.6666;191.6666;38.33332;130.6666;130.6666;43.55554;5;3;150;100;-6000;-844.897;-4000
18;13;-8952.127;0;144.3333;144.3333;18.04167;185.6665;185.6665;37.13331;8;5;250;160;-6000;-862.127;-2500
19;14;-10607.39;0;192;192;38.4;204;204;40.8;5;5;250;100;-6000;-957.3926;-4000
20;15;-12880.36;0;169;169;21.12501;76.49997;76.49997;38.24998;8;2;100;160;-8000;-640.3568;-4500
21;14;-6477.372;0;131.0001;131.0001;18.71429;72.16672;72.16672;24.05557;7;3;150;140;-2000;-767.3718;-4000
22;15;-7539.611;0;239.9999;239.9999;16;298.6666;298.6666;33.18517;15;9;450;300;-6000;-289.6114;-2000
23;15;-8810.219;0;133;133;14.77778;106;106;35.33333;9;3;150;180;-4000;-1140.221;-4000
24;13;-8711.384;0;215.3333;215.3333;21.53333;314;314;34.88889;10;9;450;200;-6000;-861.3832;-2500
25;11;-1143.013;0;180.6667;180.6667;20.07407;255.1666;255.1666;36.45237;9;7;350;180;0;-673.0131;-1000
26;14;-8140.331;0;120.6667;120.6667;13.40741;199.5;199.5;39.9;9;5;250;180;-4000;-1070.331;-3500
27;15;-14103.61;0;283.9999;283.9999;21.84615;365.6667;365.6667;73.13335;13;5;250;260;-10000;-613.6122;-4000
28;13;-1619.17;0;141;141;12.81818;294.5;294.5;49.08333;11;6;300;220;0;-639.1699;-1500
29;13;-1906.782;0;383.6665;383.6665;34.87877;223.3333;223.3333;37.22221;11;6;300;220;0;-426.7818;-2000
30;12;-1816.789;0;245.3333;245.3333;24.53333;352.4996;352.4996;50.35709;10;7;350;200;0;-366.7892;-2000
31;17;-13958.87;0;271;271;19.35714;420.6665;420.6665;38.24241;14;11;550;280;-10000;-288.867;-4500
32;20;-16976.75;0;235.3334;235.3334;21.39394;339;339;37.66667;11;9;450;220;-12000;-646.7473;-5000
33;17;-12196.9;0;342.3335;342.3335;34.23335;90.49997;90.49997;30.16666;10;3;150;200;-6000;-1046.898;-5500
34;13;-7220.223;0;169.9999;169.9999;18.88888;204.3333;204.3333;29.19047;9;7;350;180;-4000;-750.2222;-3000
35;18;-13515.2;0;322.6666;322.6666;23.04761;429.8331;429.8331;35.81942;14;12;600;280;-10000;-395.198;-4000
36;15;-12825.67;0;375.9998;375.9998;41.77776;216.9999;216.9999;43.39997;9;5;250;180;-8000;-755.6735;-4500
37;17;-17928.96;0;370.3333;370.3333;33.66666;102.3333;102.3333;34.11111;11;3;150;220;-12000;-798.9597;-5500
38;20;-17101.38;0;346.6666;346.6666;26.66666;251.5;251.5;31.4375;13;8;400;260;-12000;-261.3794;-5500
39;19;-10780.15;0;347.3331;347.3331;28.94443;219.8331;219.8331;31.40474;12;7;350;240;-4000;-870.1504;-6500
40;15;-8842.939;0;286;286;19.06667;310.1667;310.1667;34.46296;15;9;450;300;-6000;-592.9399;-3000
41;19;-10728.46;0;317.6667;317.6667;18.68627;385.1666;385.1666;35.01515;17;11;550;340;-8000;-618.4595;-3000
42;21;-19305.68;0;465.6665;465.6665;27.39215;371.6664;371.6664;41.29626;17;9;450;340;-14000;-595.6824;-5500
43;17;-12031.18;0;668.0001;668.0001;44.53334;467.8329;467.8329;42.53027;15;11;550;300;-8000;-381.1854;-4500
44;16;-6708.211;0;477.6666;477.6666;20.76811;474.6664;474.6664;43.15149;23;11;550;460;-4000;-718.2108;-3000
45;20;-9192.941;0;464.0002;464.0002;23.20001;548.6667;548.6667;34.29167;20;16;800;400;-6000;-392.9417;-4000
46;19;-6459.301;0;487.6666;487.6666;28.68627;294.4998;294.4998;32.72221;17;9;450;340;-4000;-749.3009;-2500
47;19;-9945.036;0;273.6666;273.6666;16.09804;609.8335;609.8335;50.81946;17;12;600;340;-6000;-385.0362;-4500
48;22;-12886.25;0;317.3333;317.3333;22.66666;475.1666;475.1666;39.59721;14;12;600;280;-8000;-766.2523;-5000
49;26;-25685.74;0;550.9997;550.9997;30.61109;889.4992;889.4992;52.32348;18;17;850;360;-20000;-395.7374;-6500
50;18;-6038.493;0;496.3332;496.3332;27.57407;693.8328;693.8328;40.81369;18;17;850;360;-4000;-748.4921;-2500
51;27;-23450.59;0;516.9999;516.9999;24.61905;643.1666;643.1666;40.19791;21;16;800;420;-16000;-670.5872;-8000
52;10;-8456.515;0;501.9998;501.9998;55.77776;8.000001;8.000001;8.000001;9;1;50;180;-4000;-686.5131;-4000
53;26;-24285.42;0;259.3334;259.3334;15.2549;485.4998;485.4998;34.67855;17;14;700;340;-18000;-825.4226;-6500
54;10;-3240.212;0;205.3332;205.3332;29.33332;101.1665;101.1665;50.58324;7;2;100;140;0;-480.2121;-3000
55;25;-14187.17;0;812.3332;812.3332;36.92424;669.9996;669.9996;47.85712;22;14;700;440;-8000;-1327.169;-6000
56;15;-13684.65;0;117;117;14.625;116.0001;116.0001;58.00005;8;2;100;160;-8000;-944.6495;-5000
57;14;-11072.49;0;133.6667;133.6667;14.85186;125;125;31.24999;9;4;200;180;-8000;-452.4916;-3000
58;27;-12980.59;0;754.9997;754.9997;31.45832;877.1666;877.1666;48.73148;24;18;900;480;-8000;-360.5899;-6000
59;17;-10041.01;0;72.66665;72.66665;7.266665;210.1666;210.1666;35.02777;10;6;300;200;-6000;-1041.01;-3500
60;13;-4416.008;0;142;142;12.90909;150.6667;150.6667;21.52382;11;7;350;220;-2000;-486.0087;-2500
61;13;-7164.524;0;236;236;23.6;181.5;181.5;30.25001;10;6;300;200;-4000;-664.5242;-3000
62;10;-2412.946;0;346.3332;346.3332;23.08888;116;116;38.66666;15;3;150;300;0;-862.946;-2000
