Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover;Bad Destination
1;9;-6237.859;0;284.9999;284.9999;56.99999;24.33336;24.33336;24.33336;5;1;50;100;-2000;-887.8588;-3500
2;14;-17298.96;0;112.3334;112.3334;22.46667;43.50001;43.50001;21.75;5;2;100;100;-12000;-998.9637;-4500
3;10;-1990.86;0;140.6667;140.6667;20.09524;176.3333;176.3333;35.26666;7;5;250;140;0;-380.8598;-2000
4;8;-2366.978;0;75.66664;75.66664;15.13333;15.99999;15.99999;15.99999;5;1;50;100;0;-1016.977;-1500
5;13;-12194.68;0;150.3333;150.3333;21.47619;85.00005;85.00005;28.33335;7;3;150;140;-8000;-484.6813;-4000
6;12;-8171.976;0;85.66657;85.66657;21.41664;19.66666;19.66666;19.66666;4;1;50;80;-4000;-801.9753;-3500
7;9;-6975.316;0;188.9999;188.9999;31.49998;137.8333;137.8333;34.45833;6;4;200;120;-4000;-795.3156;-2500
8;9;-4193.571;0;225.6668;225.6668;28.20835;216.3333;216.3333;36.05555;8;6;300;160;-2000;-653.5712;-2000
9;8;-4058.945;0;71.66663;71.66663;17.91666;76.99994;76.99994;38.49997;4;2;100;80;-2000;-738.9453;-1500
10;10;-4996.631;0;60.00001;60.00001;12;58.66665;58.66665;29.33333;5;2;100;100;-2000;-696.6317;-2500
11;11;-9860.688;0;184.3332;184.3332;30.72221;83.16663;83.16663;41.58331;6;2;100;120;-6000;-580.6875;-3500
12;10;-8484.665;0;115.6666;115.6666;16.5238;88.33338;88.33338;29.44446;7;3;150;140;-6000;-774.6644;-2000
13;9;-3860.006;0;40.33334;40.33334;6.722223;72.33335;72.33335;36.16668;6;2;100;120;-2000;-580.006;-1500
14;11;-4749.803;0;144.3333;144.3333;20.61905;71.1667;71.1667;35.58335;7;2;100;140;-2000;-489.8032;-2500
15;12;-6564.902;0;170.6666;170.6666;21.33333;120.6667;120.6667;24.13334;8;5;250;160;-4000;-474.9015;-2500
16;9;-3848.727;0;295.3333;295.3333;36.91666;51.50002;51.50002;25.75001;8;2;100;160;-2000;-608.7266;-1500
17;13;-11510.25;0;182;182;22.75001;233.6667;233.6667;38.94444;8;6;300;160;-8000;-470.2454;-3500
18;12;-5103.813;0;172.0001;172.0001;17.20001;183.3333;183.3333;36.66666;10;5;250;200;-2000;-553.8137;-3000
19;14;-12902.67;0;268.0001;268.0001;26.80001;164.9999;164.9999;41.24998;10;4;200;200;-8000;-802.6677;-4500
20;10;-9709.902;0;230.9999;230.9999;32.99999;71.66661;71.66661;35.83331;7;2;100;140;-6000;-949.902;-3000
21;11;-4822.761;0;134;134;13.4;190.4998;190.4998;63.49993;10;3;150;200;-2000;-672.7599;-2500
22;20;-29753.05;0;47.33335;47.33335;9.46667;81.99998;81.99998;40.99999;5;2;100;100;-22000;-953.0519;-7000
23;12;-6861.532;0;195;195;24.375;41.50001;41.50001;20.75001;8;2;100;160;-4000;-621.5318;-2500
24;11;-7779.669;0;287.3333;287.3333;28.73333;144.1665;144.1665;48.05551;10;3;150;200;-4000;-629.6683;-3500
25;13;-6850.732;0;232;232;17.84616;204.1666;204.1666;40.83331;13;5;250;260;-4000;-360.7335;-3000
26;8;-3760.786;0;70.33333;70.33333;11.72222;118.5;118.5;39.5;6;3;150;120;-2000;-1030.786;-1000
27;12;-9570.678;0;90.33337;90.33337;11.29167;213.9999;213.9999;71.33329;8;3;150;160;-6000;-880.6765;-3000
28;14;-6117.145;0;165.3333;165.3333;23.61904;83.16672;83.16672;27.72224;7;3;150;140;-2000;-907.1451;-3500
29;11;-6628.64;0;177.6666;177.6666;22.20832;320.8332;320.8332;53.4722;8;6;300;160;-4000;-588.6392;-2500
30;13;-5229.763;0;292.9999;292.9999;29.29999;203.3332;203.3332;50.83329;10;4;200;200;-2000;-629.7629;-3000
31;19;-18684.25;0;170.6667;170.6667;21.33333;62.66662;62.66662;31.33331;8;2;100;160;-12000;-944.251;-6000
32;15;-10164.68;0;212.3333;212.3333;19.30302;161.1667;161.1667;23.02382;11;7;350;220;-8000;-234.6779;-2500
