Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Waiting Reward;Bad Destination
1;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
2;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
3;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
4;1;-297.7802;0;6.333334;6.333334;6.333334;0;0;NaN;1;0;0;20;0;-317.7803;0
5;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
6;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
7;2;-3342.421;0;0;0;NaN;0;0;NaN;0;0;0;0;-2000;-342.4193;-1000
8;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
9;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
10;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
11;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
12;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
13;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
14;1;-1184.841;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-684.8447;-500
15;2;-3342.421;0;0;0;NaN;0;0;NaN;0;0;0;0;-2000;-342.4193;-1000
16;1;-1184.841;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-684.8447;-500
17;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
18;2;-3342.421;0;0;0;NaN;0;0;NaN;0;0;0;0;-2000;-342.4193;-1000
19;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
20;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
21;1;-1184.841;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-684.8447;-500
22;1;-605.6088;0;13.66667;13.66667;6.833334;0;0;NaN;2;0;0;40;0;-645.6097;0
23;1;-297.7802;0;6.333334;6.333334;6.333334;0;0;NaN;1;0;0;20;0;-317.7803;0
