Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover
449;40;236.4722;0;988.3331;988.3331;29.06862;1430.5;1430.5;47.68333;34;30;900;680;-700;-643.5278
450;15;-817.7217;0;103;103;14.71429;86.50005;86.50005;28.83335;7;3;90;140;-200;-847.7217
451;19;-859.7169;0;564.9998;564.9998;31.38888;451.6664;451.6664;45.16664;18;10;300;360;-600;-919.7169
452;22;-513.6636;0;587.3331;587.3331;32.62962;457.3333;457.3333;45.73333;18;10;300;360;-600;-573.6636
453;25;762.0698;0;891.9996;891.9996;30.75861;1072.999;1072.999;44.7083;29;24;720;580;-200;-337.9302
454;25;-285.1445;0;748.9999;748.9999;34.04545;702.8331;702.8331;46.85554;22;15;450;440;-400;-775.1446
455;22;-1003.69;0;207.6665;207.6665;29.66664;136.4999;136.4999;45.49996;7;3;90;140;-500;-733.6903
456;30;-100.0174;0;604.0001;604.0001;24.16;943.4996;943.4996;49.65788;25;19;570;500;-500;-670.0173
457;22;-924.2974;0;638.3335;638.3335;33.5965;352.1664;352.1664;39.1296;19;9;270;380;-700;-874.2974
458;14;-540.5779;0;211;211;19.18181;224.5001;224.5001;44.90002;11;5;150;220;-100;-810.5779
