Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover;Bad Destination
1;11;-7936.435;0;109.3334;109.3334;21.86667;50.33335;50.33335;16.77778;5;3;150;100;-4000;-686.4348;-3500
2;10;-9662.091;0;173.6667;173.6667;24.80953;160.5001;160.5001;32.10002;7;5;250;140;-6000;-1052.09;-3000
3;13;-15917.87;0;133.6666;133.6666;26.73332;0;0;NaN;5;0;0;100;-10000;-1017.868;-5000
4;11;-1024.105;0;232.9998;232.9998;19.41665;148.1665;148.1665;37.04164;12;4;200;240;0;-464.1055;-1000
5;13;-9561.646;0;109.6666;109.6666;21.93333;46;46;23;5;2;100;100;-6000;-761.6461;-3000
6;13;-12261.86;0;162.6667;162.6667;20.33333;105.5;105.5;35.16667;8;3;150;160;-8000;-571.8603;-4000
7;13;-3939.356;0;123.3334;123.3334;12.33333;131.5;131.5;26.3;10;5;250;200;-2000;-389.3559;-2000
8;11;-10262.36;0;165.3333;165.3333;20.66667;11.66667;11.66667;11.66667;8;1;50;160;-6000;-972.3587;-3500
9;9;-1167.078;0;178.6667;178.6667;22.33333;108.8333;108.8333;36.27775;8;3;150;160;0;-477.0783;-1000
10;16;-12147.84;0;146.9999;146.9999;20.99999;178.6665;178.6665;35.73331;7;5;250;140;-8000;-537.8391;-4000
11;12;-4144.27;0;177;177;19.66667;355.1665;355.1665;50.73808;9;7;350;180;-2000;-674.2702;-2000
12;12;-3604.265;0;180.3333;180.3333;12.02222;325.8334;325.8334;32.58334;15;10;500;300;-2000;-404.2654;-2000
13;11;-3584.334;0;201.6666;201.6666;28.80951;232.4999;232.4999;46.49998;7;5;250;140;0;-974.3346;-3000
14;14;-10990.13;0;335.3333;335.3333;30.48485;229.8333;229.8333;38.30555;11;6;300;220;-8000;-510.1259;-3000
15;13;-6789.94;0;213.9998;213.9998;19.45453;131.1666;131.1666;26.23332;11;5;250;220;-4000;-759.9398;-2500
16;14;-10005.65;0;219.3332;219.3332;27.41665;141.3333;141.3333;35.33332;8;4;200;160;-6000;-865.6469;-3500
17;13;-9382.224;0;292.6664;292.6664;36.58331;209.8332;209.8332;41.96665;8;5;250;160;-6000;-792.2226;-3000
18;13;-2831.013;0;167.3333;167.3333;20.91666;139.1667;139.1667;27.83333;8;5;250;160;0;-741.0131;-2500
19;15;-8225.771;0;167.3332;167.3332;15.21211;62.83335;62.83335;31.41667;11;2;100;220;-4000;-1045.771;-3500
20;16;-16948.02;0;364.6667;364.6667;33.15152;352.8332;352.8332;44.10415;11;8;400;220;-12000;-568.0188;-5000
21;15;-9425.022;0;261.3333;261.3333;21.77778;229;229;45.8;12;5;250;240;-6000;-415.0226;-3500
22;19;-12991.2;0;290;290;22.30769;172.5;172.5;28.75001;13;6;300;260;-8000;-551.2022;-5000
23;18;-8257.701;0;353.9998;353.9998;32.1818;157.9999;157.9999;31.59998;11;5;250;220;-4000;-727.6998;-4000
24;17;-9559.313;0;204;204;17;318.5;318.5;35.38889;12;9;450;240;-6000;-749.311;-3500
25;16;-8405.492;0;440.6666;440.6666;33.89743;125.6667;125.6667;20.94445;13;6;300;260;-6000;-965.4914;-2000
26;16;-11522.93;0;359.9999;359.9999;35.99999;331.6664;331.6664;41.45829;10;8;400;200;-8000;-622.9329;-3500
27;17;-10882.45;0;240.3333;240.3333;24.03333;301.3332;301.3332;37.66665;10;8;400;200;-6000;-982.4513;-4500
28;18;-7718.226;0;325.6663;325.6663;29.60603;211.1664;211.1664;35.19439;11;6;300;220;-4000;-738.226;-3500
29;18;-11357.45;0;277.6666;277.6666;19.83333;338.4997;338.4997;48.35711;14;7;350;280;-8000;-987.4451;-3000
30;16;-4919.792;0;283;283;23.58333;252;252;36;12;7;350;240;-2000;-509.792;-3000
31;17;-13891.31;0;441.3333;441.3333;40.12121;453.3331;453.3331;56.66663;11;8;400;220;-8000;-1011.31;-5500
32;18;-17388.51;0;502.9998;502.9998;41.91665;283.6667;283.6667;40.52381;12;7;350;240;-12000;-978.5087;-5000
33;18;-17027.25;0;302.3333;302.3333;27.48484;374.9998;374.9998;41.66664;11;9;450;220;-12000;-697.2535;-5000
34;15;-2030.342;0;294.3333;294.3333;24.52777;277.6665;277.6665;39.66665;12;7;350;240;0;-620.3417;-2000
35;17;-9160.639;0;264.9998;264.9998;18.92856;461.1666;461.1666;46.11666;14;10;500;280;-6000;-440.64;-3500
36;19;-11535.35;0;305.9999;305.9999;30.59999;345.5001;345.5001;43.18751;10;8;400;200;-8000;-635.3561;-3500
37;23;-26049.34;0;402.333;402.333;30.9487;315.3332;315.3332;52.55554;13;6;300;260;-20000;-609.3441;-6000
38;16;-1150.547;0;255.6668;255.6668;18.26192;292.5;292.5;29.25;14;10;500;280;0;-430.5465;-1500
39;19;-15036.33;0;476.3333;476.3333;28.0196;462.333;462.333;46.2333;17;10;500;340;-10000;-376.336;-5500
40;20;-14941.38;0;367.6666;367.6666;30.63888;251.1667;251.1667;41.86112;12;6;300;240;-8000;-981.3763;-6500
41;19;-11312.31;0;282.6666;282.6666;21.74359;383.3332;383.3332;42.59258;13;9;450;260;-8000;-522.3062;-3500
42;19;-10850.23;0;395.3333;395.3333;32.94444;270.1665;270.1665;38.59521;12;7;350;240;-6000;-940.2296;-4500
43;21;-15845.24;0;362.3333;362.3333;20.12963;527.9999;527.9999;37.71428;18;14;700;360;-12000;-405.2419;-4500
44;20;-16442.72;0;890.9996;890.9996;44.54998;561.9998;561.9998;43.23075;20;13;650;400;-12000;-492.7223;-5000
45;17;-4593.742;0;485.3333;485.3333;32.35555;423.1666;423.1666;38.46969;15;11;550;300;-2000;-443.7415;-3000
46;21;-13306.02;0;410.3332;410.3332;24.13725;536.1666;536.1666;44.68055;17;12;600;340;-10000;-746.0165;-3500
