Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover;Bad Destination
408;11;-3476.552;0;211;211;30.14285;220;220;44.00001;7;5;250;140;0;-866.5524;-3000
409;13;-2563.339;0;278;278;18.53333;326.9999;326.9999;40.87498;15;8;400;300;0;-763.3393;-2500
410;7;-2051.724;0;105.3334;105.3334;17.55556;16.99999;16.99999;16.99999;6;1;50;120;0;-721.7244;-1500
411;11;-8092.441;0;155.6666;155.6666;22.23809;98.16658;98.16658;49.08329;7;2;100;140;-4000;-832.4409;-3500
412;32;-17805.21;0;965.3331;965.3331;40.22221;1138;1138;49.47824;24;23;1150;480;-12000;-935.2092;-6500
413;12;-6591.879;0;175.6667;175.6667;21.95833;47.16667;47.16667;15.72222;8;3;150;160;-4000;-901.8796;-2000
414;14;-2881.298;0;366.9998;366.9998;26.21427;356.1665;356.1665;39.57405;14;9;450;280;0;-611.2979;-3000
415;10;-625.7286;0;75.66665;75.66665;9.458331;122.5;122.5;20.41667;8;6;300;160;0;-585.7286;-500
416;18;-13615.05;0;330;330;27.5;332;332;41.5;12;8;400;240;-8000;-755.051;-5500
417;14;-10694.74;0;463.6665;463.6665;42.1515;70.83334;70.83334;35.41667;11;2;100;220;-6000;-514.7418;-4500
418;12;-6393.413;0;112;112;14;172.1666;172.1666;34.43332;8;5;250;160;-4000;-803.412;-2000
419;24;-7435.617;0;852.3332;852.3332;31.5679;991.1664;991.1664;41.2986;27;24;1200;540;-6000;-675.6166;-2500
420;21;-7731.241;0;635.6667;635.6667;27.63768;854.4998;854.4998;47.47221;23;18;900;460;-6000;-591.2401;-2500
421;11;-7252.374;0;110.0001;110.0001;27.50002;0;0;NaN;4;0;0;80;-2000;-1332.374;-4000
422;9;-6309.453;0;62.33333;62.33333;7.791667;115.6666;115.6666;28.91666;8;4;200;160;-4000;-1169.453;-1500
423;20;-3972.159;0;394.6667;394.6667;20.77193;616.9999;616.9999;38.5625;19;16;800;380;-2000;-652.1588;-2500
424;12;-6489.985;0;206.6666;206.6666;18.78788;181.1667;181.1667;25.88096;11;7;350;220;-4000;-559.9851;-2500
425;12;-7056.961;0;411.6665;411.6665;41.16665;239.9999;239.9999;39.99998;10;6;300;200;-4000;-1056.961;-2500
426;13;-8415.659;0;203.9999;203.9999;25.49999;154.8333;154.8333;38.70832;8;4;200;160;-4000;-775.6599;-4000
427;15;-8320.355;0;205.3332;205.3332;20.53332;511.9995;511.9995;51.19995;10;10;500;200;-4000;-1020.356;-4000
428;12;-8788.206;0;219.6667;219.6667;16.89744;14.33333;14.33333;14.33333;13;1;50;260;-4000;-1098.207;-4000
