Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Waiting Reward;Bad Destination
1;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
2;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
3;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
4;1;-297.7802;0;6.333334;6.333334;6.333334;0;0;NaN;1;0;0;20;0;-317.7803;0
5;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
6;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
7;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
8;1;-1184.841;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-684.8447;-500
9;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
10;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
11;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
12;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
13;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
14;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
15;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
16;2;-3684.842;0;0;0;NaN;0;0;NaN;0;0;0;0;-2000;-684.8447;-1000
17;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
18;1;-2797.782;0;6.333334;6.333334;6.333334;0;0;NaN;1;0;0;20;-2000;-317.7803;-500
19;1;-2797.782;0;6.333334;6.333334;6.333334;0;0;NaN;1;0;0;20;-2000;-317.7803;-500
20;1;-842.4243;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-342.4193;-500
21;2;-3342.421;0;0;0;NaN;0;0;NaN;0;0;0;0;-2000;-342.4193;-1000
22;1;-297.7802;0;6.333334;6.333334;6.333334;0;0;NaN;1;0;0;20;0;-317.7803;0
23;1;-1184.841;0;0;0;NaN;0;0;NaN;0;0;0;0;0;-684.8447;-500
