Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover
1;12;-3816.37;0;214.3331;214.3331;53.58327;74.4999;74.4999;37.24995;4;2;100;80;-3000;-996.3702
2;14;-2375.535;0;65.33334;65.33334;13.06667;96.00003;96.00003;19.20001;5;5;250;100;-2000;-725.5347
3;15;-5755.077;0;107.6667;107.6667;26.91667;69.16667;69.16667;34.58334;4;2;100;80;-5000;-935.0766
4;15;-3475.878;0;100;100;16.66667;203.3334;203.3334;50.83335;6;4;200;120;-3000;-795.8782
5;10;-1552.012;0;45.66666;45.66666;9.133332;69.83335;69.83335;23.27778;5;3;150;100;-1000;-802.0117
6;10;-896.1094;0;193.3333;193.3333;17.57576;147.5001;147.5001;24.58334;11;6;300;220;-1000;-416.1093
7;9;-1297.007;0;71.99998;71.99998;10.28571;31.49999;31.49999;15.75;7;2;100;140;0;-1537.007
8;13;-3976.665;0;396.6666;396.6666;30.51282;229.1666;229.1666;38.19443;13;6;300;260;-4000;-536.6656
9;12;262.1896;0;437.3334;437.3334;25.7255;247.3334;247.3334;30.91667;17;8;400;340;0;-477.8105
10;11;274.2733;0;370.6665;370.6665;30.88888;280.1666;280.1666;35.02083;12;8;400;240;0;-365.7267
11;11;-283.931;0;300.9998;300.9998;30.09999;202.8333;202.8333;33.80555;10;6;300;200;0;-783.931
12;17;-4190.28;0;334.3331;334.3331;27.86109;254.833;254.833;42.47217;12;6;300;240;-4000;-730.2796
13;15;-2433.99;0;331.3332;331.3332;23.66666;367.1666;367.1666;36.71666;14;10;500;280;-3000;-213.9902
14;14;-2852.393;0;273.3333;273.3333;19.52381;360.9999;360.9999;36.09999;14;10;500;280;-3000;-632.3929
15;20;-3444.662;0;491;491;30.6875;404.3333;404.3333;33.69444;16;12;600;320;-4000;-364.6616
16;23;-6257.551;0;236.6667;236.6667;21.51516;379.8333;379.8333;47.47916;11;8;400;220;-6000;-877.5508
17;16;-957.384;0;363.3333;363.3333;21.37255;305.6666;305.6666;33.96296;17;9;450;340;-1000;-747.3841
18;18;-2517.91;0;558.6664;558.6664;29.4035;458.8333;458.8333;41.71211;19;11;550;380;-3000;-447.9099
19;23;-5149.934;0;554.6664;554.6664;30.8148;457.9996;457.9996;41.63633;18;11;550;360;-5000;-1059.934
