Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover;;Mean average reward;
1;10;-7.951.192;0;3.866.668;3.866.668;1.288.889;8.816.667;8.816.667;4.408.334;3;2;60;60;-100;-8.151.192;;;
2;12;-1166.85;0;1.566.666;1.566.666;7.833.332;3.216.669;3.216.669;3.216.669;2;1;30;40;-300;-9.368.502;;;
3;13;-8.753.715;0;7.866.666;7.866.666;1.123.809;5.183.332;5.183.332;2.591.666;7;2;60;140;-400;-6.753.715;;;
4;10;-9.767.761;0;2.196.667;2.196.667;1.830.556;8.733.328;8.733.328;4.366.664;12;2;60;240;-100;-1.176.776;;;
5;14;-7.136.096;0;3.146.665;3.146.665;2.860.605;2.394.998;2.394.998;3.991.663;11;6;180;220;-400;-7.136.096;;-8.402.191;-260
6;17;-7.249.713;0;2.423.332;2.423.332;3.029.165;132.5;132.5;4.416.666;8;3;90;160;-400;-5.749.713;;-8.226.821;-320
7;14;-2.035.186;0;2.773.333;2.773.333;2.521.212;239.5;239.5;2.993.749;11;8;240;220;-100;-3.803.519;;-6.988.494;-280
8;11;-5.347.039;0;154;154;2.566.667;2.366.666;2.366.666;5.916.666;6;4;120;120;-100;-6.747.038;;-6.307.159;-220
9;17;-4.233.698;0;1.206.667;1.206.667;1.206.667;1.863.332;1.863.332;3.726.664;10;5;150;200;-300;-4.733.698;;-5.200.346;-260
10;16;-4.756.901;0;2.229.999;2.229.999;2.229.999;2.791.666;2.791.666;4.652.776;10;6;180;200;-400;-4.556.901;;-4.724.507;-260
11;15;-6.532.363;0;1.816.666;1.816.666;1.651.514;2.173.332;2.173.332;362.222;11;6;180;220;-200;-8.532.363;;-4.581.037;-220
12;15;232.21;0;3.236.664;3.236.664;2.157.776;3.681.664;3.681.664;3.346.967;15;11;330;300;-100;-297.79;;-5.217.500;-220
13;14;-6.767.903;0;3.276.667;3.276.667;2.520.513;4.448.338;4.448.338;6.354.769;13;7;210;260;-100;-1046.79;;-5.572.716;-220
14;16;-5.503.154;0;2.843.333;2.843.333;2.369.444;3.666.669;3.666.669;3.666.669;12;10;300;240;-100;-4.950.315;;-5.890.080;-180
15;20;-8.567.136;0;3.293.332;3.293.332;2.744.444;2.216.666;2.216.666;3.166.666;12;7;210;240;-600;-7.067.135;;-6.842.639;-220
16;19;-6.083.816;0;2.403.333;2.403.333;2.002.778;3.294.998;3.294.998;366.111;12;9;270;240;-600;-5.183.816;;-6.730.502;-300
17;15;-7.130.155;0;4.136.666;4.136.666;3.182.051;2.246.668;2.246.668;3.209.525;13;7;210;260;0;-5.413.015;;-6.810.433;-280
18;16;-9.413.033;0;3.203.333;3.203.333;2.669.444;2.776.664;2.776.664;3.966.663;12;7;210;240;-400;-9.913.034;;-7.339.459;-340
19;20;-4.981.678;0;7.626.663;7.626.663;4.237.035;558.333;558.333;558.333;18;10;300;360;-300;-8.581.677;;-7.235.164;-380
20;22;-1.077.138;0;6.499.998;6.499.998;361.111;5.544.996;5.544.996;3.960.712;18;14;420;360;-700;-1.157.138;;-5.737.164;-400
21;21;-1.154.319;0;3.999.998;3.999.998;2.499.999;4.253.331;4.253.331;3.866.665;16;11;330;320;-200;-5.654.319;;-4.751.265;-320
22;21;938.196;0;4.429.999;4.429.999;2.331.579;5.299.997;5.299.997;3.533.331;19;15;450;380;-500;-320.618;;-3.137.594;-420
23;21;-4.075.836;0;3.196.666;3.196.666;1.997.916;4.764.997;4.764.997;4.331.815;16;11;330;320;-100;-9.575.836;;-2.070.155;-360
24;13;-1.339.373;0;166;166;20.75;1.563.333;1.563.333;2.233.333;8;7;210;160;0;-5.039.373;;-1.341.694;-300
25;13;-7.704.709;0;1.753.333;1.753.333;2.504.761;6.383.334;6.383.334;2.127.778;7;3;90;140;-200;-8.004.709;;-2.667.208;-200
26;12;-789.721;0;1.306.666;1.306.666;2.177.777;1.473.333;1.473.333;3.683.331;6;4;120;120;-300;-729.721;;-2.594.289;-220
27;16;-7.811.616;0;303;303;2.754.545;1.451.666;1.451.666;3.629.165;11;4;120;220;-300;-8.211.616;;-4.344.251;-180
28;27;-6.528.811;0;4.906.666;4.906.666;2.336.508;504.5;504.5;3.880.769;21;13;390;420;-500;-9.628.812;;-4.834.846;-260
29;32;-1.417.327;0;7.663.331;7.663.331;2.642.528;9.156.664;9.156.664;3.981.158;29;23;690;580;-1100;-3.117.327;;-4.850.437;-480
30;25;-1.323.297;0;7.856.664;7.856.664;3.571.211;9.633.332;9.633.332;5.351.851;22;18;540;440;-200;-9.123.297;;-3.574.154;-480
31;31;-6.846.167;0;5.346.669;5.346.669;2.546.033;9.241.675;9.241.675;5.134.264;21;18;540;420;-600;-1.044.617;;-4.785.444;-540
32;13;-543.355;0;2.513.333;2.513.333;2.513.333;137;137;27.4;10;5;150;200;-300;-593.355;;-3.331.791;-540
33;13;-8.099.251;0;1.456.667;1.456.667;1.618.519;6.533.331;6.533.331;3.266.666;9;2;60;180;-200;-8.499.251;;-3.645.879;-480
34;21;-7.337.494;0;3.569.998;3.569.998;2.974.999;3.948.332;3.948.332;4.387.035;12;9;270;240;-600;-6.437.494;;-4.829.913;-380
35;17;-5.351.584;0;3.783.332;3.783.332;2.364.583;4.053.333;4.053.333;4.053.333;16;10;300;320;-200;-9.551.584;;-5.635.570;-380
36;19;-6.630.121;0;2.766.666;2.766.666;2.128.205;2.968.333;2.968.333;3.298.147;13;9;270;260;-500;-6.930.121;;-5.592.361;-360
37;14;-9.804.022;0;3.206.667;3.206.667;3.206.667;1.281.665;1.281.665;3.204.163;10;4;120;200;-200;-1.100.402;;-7.444.494;-340
38;32;2.056.349;0;8.509.997;8.509.997;2.934.482;1.133.833;1.133.833;4.535.331;29;25;750;580;-800;-3.243.651;;-5.413.374;-460
39;17;-3.529.261;0;5.066.662;5.066.662;3.377.775;3.134.997;3.134.997;4.478.567;15;7;210;300;-300;-5.629.261;;-4.651.728;-400
40;21;-1.716.872;0;3.579.999;3.579.999;2.386.666;7.218.333;7.218.333;6.015.277;15;12;360;300;-300;-5.316.872;;-3.924.785;-420
41;17;-8.798.354;0;3.276.665;3.276.665;2.978.786;380.333;380.333;6.338.884;11;6;180;220;-400;-8.798.354;;-4.358.432;-400
42;20;-5.817.016;0;1.533.333;1.533.333;1.393.939;2.343.332;2.343.332;3.347.617;11;7;210;220;-400;-6.117.016;;-3.561.031;-440
43;11;-6.135.485;0;248;248;24.8;8.416.661;8.416.661;4.208.331;10;2;60;200;-100;-7.735.485;;-5.199.398;-300
44;17;-3.102.586;0;3.669.999;3.669.999;2.823.076;3.463.333;3.463.333;3.463.333;13;10;300;260;-300;-5.702.585;;-5.114.063;-300
45;14;-5.551.212;0;1.903.333;1.903.333;2.719.047;112.5;112.5;28.125;7;4;120;140;-100;-7.151.212;;-5.880.931;-260
46;33;3.686.796;0;9.009.999;9.009.999;2.815.625;1.329.833;1.329.833;4.749.404;32;28;840;640;-800;-3.113.204;;-3.383.901;-340
47;36;-2.465.937;0;8.196.663;8.196.663;2.644.085;1.251.833;1.251.833;4.636.419;31;27;810;620;-800;-8.765.938;;-2.713.685;-420
48;14;-6.939.089;0;2.386.665;2.386.665;2.983.331;1.520.001;1.520.001;5.066.671;8;3;90;160;-300;-6.439.089;;-2.874.406;-460
49;20;-6.642.155;0;3.280.001;3.280.001;2.523.077;2.523.332;2.523.332;4.205.553;13;6;180;260;-500;-6.042.155;;-3.582.319;-500
50;23;-5.792.408;0;365;365;2.433.334;4.056.664;4.056.664;3.687.877;15;11;330;300;-600;-6.092.408;;-3.630.559;-600
51;13;-3.542.755;0;3.886.666;3.886.666;3.238.888;2.754.999;2.754.999;3.935.713;12;7;210;240;-200;-6.042.755;;-5.076.469;-480
52;23;-1.153.185;0;125;125;1.388.889;2.269.999;2.269.999;3.783.332;9;6;180;180;-1000;-513.185;;-4.813.918;-520
53;20;2.984.048;0;3.879.999;3.879.999;1.847.618;5.688.333;5.688.333;3.555.208;21;16;480;420;-100;-5.015.952;;-2.829.291;-480
54;27;-7.607.797;0;3.746.667;3.746.667;2.081.481;384.5;384.5;38.45;18;10;300;360;-200;-1220.78;;-3.022.419;-420
55;13;-1.019.391;0;7.233.334;7.233.334;1.205.556;8.200.005;8.200.005;2.733.335;6;3;90;120;-200;-1.029.391;;-2.067.816;-340
56;18;-7.032.899;0;4.746.663;4.746.663;4.315.148;2.694.996;2.694.996;449.166;11;6;180;220;-500;-6.032.899;;-2.765.845;-400
57;15;-807.78;0;3.173.336;3.173.336;3.966.669;1.404.998;1.404.998;4.683.327;8;3;90;160;-300;-757.78;;-3.169.010;-260
58;18;-2.045.691;0;2.873.332;2.873.332;2.873.332;3.589.997;3.589.997;4.487.496;10;8;240;200;-100;-5.445.692;;-4.426.445;-260
59;37;7.959.206;0;8.259.998;8.259.998;2.664.515;1.144.667;1.144.667;4.239.507;31;27;810;620;-700;-650.408;;-534.694;-360
60;13;-6.984.448;0;1.743.333;1.743.333;2.179.166;2.716.668;2.716.668;2.716.668;8;1;30;160;-300;-5.884.447;;-2.025.958;-380
61;13;-7.216.499;0;2.569.998;2.569.998;2.855.553;345.333;345.333;4.933.329;9;7;210;180;-100;-1011.65;;-2.071.858;-300
62;17;-1.149.995;0;2.666.664;2.666.664;3.333.331;2.101.666;2.101.666;300.238;8;7;210;160;-200;-1.319.995;;-1.887.485;-280
63;15;-801.817;0;1.246.667;1.246.667;1.558.334;1.174.999;1.174.999;3.916.665;8;3;90;160;-600;-4.518.169;;-1.638.711;-380
64;13;-3.488.725;0;2.249.998;2.249.998;1.499.999;120;120;24;15;5;150;300;-100;-6.988.725;;-3.928.297;-260
65;18;-5.656.456;0;2.526.666;2.526.666;1.943.589;1.851.666;1.851.666;3.703.331;13;5;150;260;-300;-6.756.456;;-3.662.698;-260
66;16;-1.044.891;0;6.433.335;6.433.335;1.072.223;7.616.666;7.616.666;3.808.333;6;2;60;120;-300;-9.248.909;;-2.428.377;-300
67;15;-6.786.851;0;2.586.666;2.586.666;2.874.073;1.594.999;1.594.999;3.987.498;9;4;120;180;-300;-6.786.851;;-3.555.748;-320
68;10;-3.444.459;0;60;60;8.571.428;7.583.332;7.583.332;1.895.833;7;4;120;140;-100;-5.044.459;;-4.084.276;-220
69;15;-5.953.848;0;1.706.667;1.706.667;1.896.296;2.634.998;2.634.998;3.764.283;9;7;210;180;-200;-7.853.848;;-4.577.301;-240
70;20;-2.944.194;0;2.493.333;2.493.333;1.187.302;4.834.996;4.834.996;3.719.228;21;13;390;420;-400;-4.394.419;;-4.034.849;-260
71;27;-6.718.038;0;6.206.664;6.206.664;3.266.665;7.658.326;7.658.326;4.786.454;19;16;480;380;-600;-9.318.038;;-5.169.478;-320
72;14;-3.327.269;0;2.023.333;2.023.333;2.890.476;1.178.334;1.178.334;2.945.834;7;4;120;140;-200;-3.927.269;;-4.477.562;-300
73;16;-1.218.839;0;1.553.333;1.553.333;1.553.333;2.501.668;2.501.668;5.003.337;10;5;150;200;-500;-1.068.839;;-4.032.438;-380
74;14;-6.280.313;0;2.113.332;2.113.332;3.019.046;1.199.999;1.199.999;2.999.998;7;4;120;140;-300;-5.880.313;;-4.097.731;-400
75;19;-1.571.275;0;5.146.664;5.146.664;223.768;5.709.996;5.709.996;4.078.569;23;14;420;460;-200;-8.371.274;;-3.823.147;-360
76;14;-7.658.549;0;2.246.667;2.246.667;2.496.296;1.406.667;1.406.667;3.516.667;9;4;120;180;-400;-665.855;;-4.011.249;-320
77;27;3.047.248;0;7.586.666;7.586.666;2.709.523;9.084.995;9.084.995;4.326.188;28;21;630;560;-500;-3.852.752;;-2.736.346;-380
78;17;-120.644;0;239;239;1.838.461;3.814.998;3.814.998;3.814.998;13;10;300;260;-100;-5.806.439;;-2.516.707;-300
79;27;-1.796.301;0;382;382;19.1;6.431.667;6.431.667;4.287.778;20;15;450;400;-500;-5.296.301;;-1.619.904;-340
80;27;2.520.017;0;9.079.998;9.079.998;3.026.666;1075;1075;4.886.362;30;22;660;600;-300;-7.079.984;;-801.646;-360
81;22;-5.690.566;0;4.883.332;4.883.332;3.255.555;3.624.999;3.624.999;4.027.776;15;9;270;300;-400;-7.390.567;;-408.049;-360
82;37;-2.070.827;0;1.135.333;1.135.333;3.153.703;1.559.333;1.559.333;5.030.106;36;31;930;720;-600;-1.257.083;;-1.431.664;-380
83;22;-5.109.615;0;4.536.665;4.536.665;2.835.415;382;382;3.472.727;16;11;330;320;-600;-5.609.615;;-2.429.458;-480
84;36;-1.388.393;0;1.047.666;1.047.666;3.174.747;1.363.333;1.363.333;5.243.589;33;26;780;660;-900;-6.788.393;;-2.347.877;-560
85;14;-5.457.064;0;168;168;16.8;1.356.666;1.356.666;3.391.665;10;4;120;200;-400;-4.657.063;;-3.943.293;-580
86;15;-7.550.856;0;2.756.667;2.756.667;2.756.667;3.223.333;3.223.333;4.029.166;10;8;240;200;-400;-7.950.856;;-4.315.351;-580
87;24;-1.511.972;0;4.399.999;4.399.999;2.095.238;1.203.334;1.203.334;6.685.188;21;18;540;420;-100;-1.011.197;;-4.203.580;-480
88;18;-2.433.969;0;4.563.332;4.563.332;3.042.221;3.861.666;3.861.666;4.290.739;15;9;270;300;-100;-7.133.969;;-3.668.451;-380
89;16;-1155.4;0;177;177;2.528.572;5.600.002;5.600.002;1.866.667;7;3;90;140;-500;-885.4;;-4.238.465;-300
90;23;-5.153.759;0;5.586.664;5.586.664;3.491.665;3.364.999;3.364.999;3.364.999;16;10;300;320;-700;-4.353.759;;-4.162.639;-360
91;20;-204.826;0;5.753.329;5.753.329;3.196.294;6.369.996;6.369.996;4.899.997;18;13;390;360;-200;-7.548.261;;-2.326.132;-320
92;12;-718.959;0;2.206.667;2.206.667;2.451.852;1.046.667;1.046.667;348.889;9;3;90;180;-100;-888.959;;-2.127.878;-320
93;16;-6.606.785;0;3.103.332;3.103.332;258.611;2.691.668;2.691.668;384.524;12;7;210;240;-500;-6.106.785;;-3.171.082;-400
94;15;-9.363.545;0;1.360.001;1.360.001;2.266.668;1.154.999;1.154.999;3.849.998;6;3;90;120;-300;-8.463.545;;-4.409.575;-360
95;13;-5.238.734;0;8.466.667;8.466.667;1.058.333;106;106;3.533.332;8;3;90;160;-300;-4.738.734;;-4.426.570;-280
96;21;-1.156.248;0;3.096.666;3.096.666;1.821.568;4.446.666;4.446.666;3.705.555;17;12;360;340;-300;-5.156.248;;-4.616.854;-300
97;18;356.664;0;4.553.333;4.553.333;2.276.667;7.311.665;7.311.665;4.062.036;20;18;540;400;-200;-7.043.336;;-4.401.730;-320
98;22;-2.758.386;0;4.746.663;4.746.663;2.498.244;5.094.999;5.094.999;3.639.285;19;14;420;380;-300;-7.758.385;;-3.632.050;-280
99;14;-2.217.625;0;4.916.663;4.916.663;4.097.219;4.416.662;4.416.662;4.416.662;12;10;300;240;-200;-3.621.763;;-2.202.866;-260
100;20;-3.759.439;0;4.680.001;4.680.001;26;3.776.665;3.776.665;3.776.665;18;10;300;360;-300;-7.359.439;;-1.907.007;-260
101;12;-9.803.436;0;2.349.999;2.349.999;3.916.665;2.566.666;2.566.666;1.283.333;6;2;60;120;-300;-8.603.436;;-3.636.444;-260
102;23;-371.883;0;4.856.665;4.856.665;2.698.147;6.488.329;6.488.329;4.634.521;18;14;420;360;-400;-7.518.831;;-3.782.154;-300
103;23;223.302;0;8.826.667;8.826.667;3.394.872;1.136.833;1.136.833;5.167.422;26;22;660;520;-100;-8.566.979;;-3.185.816;-260
104;29;-1.616.139;0;8.559.996;8.559.996;2.951.723;1.102.166;1.102.166;4.592.359;29;24;720;580;-500;-8.161.614;;-3.065.519;-320
105;13;-3.701.445;0;168;168;1.866.666;1.204.999;1.204.999;2.409.998;9;5;150;180;-100;-6.001.445;;-3.053.920;-280
106;12;-5.072.567;0;3.366.664;3.366.664;3.740.738;7.333.336;7.333.336;3.666.668;9;2;60;180;-100;-6.472.567;;-2.107.746;-240
107;26;358.09;0;7.003.329;7.003.329;2.593.826;8.813.333;8.813.333;4.406.666;27;20;600;540;-300;-4.819.099;;-2.541.712;-220
108;19;1.349.605;0;6.123.333;6.123.333;2.783.333;6.194.995;6.194.995;4.129.997;22;15;450;440;-100;-6.550.395;;-2.260.137;-220
109;19;-5.809.739;0;3.739.999;3.739.999;2.876.923;4.006.666;4.006.666;5.008.332;13;8;240;260;-600;-4.809.738;;-3.308.537;-240
110;46;9.710.027;0;1.397.333;1.397.333;291.111;1.825.666;1.825.666;4.564.166;48;40;1200;960;-800;-3.889.973;;44.332;-380
111;8;-8.942.173;0;8.199.995;8.199.995;2.733.331;4.033.332;4.033.332;4.033.332;3;1;30;60;-100;-8.842.173;;-923.070;-380
112;34;-167.73;0;8.606.664;8.606.664;2.967.815;8.913.326;8.913.326;4.456.663;29;20;600;580;-600;-747.73;;-923.070;-440
113;17;-5.934.325;0;2.646.665;2.646.665;2.406.059;1.903.333;1.903.333;2.719.048;11;7;210;220;-100;-9.234.326;;-2.744.053;-440
114;21;-3.957.914;0;4.516.664;4.516.664;3.226.189;4.281.662;4.281.662;4.757.402;14;9;270;280;-300;-6.457.913;;-2.281.096;-380
115;33;-199.894;0;6.133.331;6.133.331;2.358.974;1127;1127;49;26;23;690;520;-600;-6.299.894;;-4.758.577;-340
116;16;-4.030.786;0;1.193.333;1.193.333;1.325.926;2.409.999;2.409.999;3.442.856;9;7;210;180;-300;-4.930.786;;-3.530.730;-380
117;14;-3.482.635;0;2.149.998;2.149.998;2.149.998;2.214.998;2.214.998;4.429.995;10;5;150;200;-200;-4.982.635;;-3.521.111;-300
118;33;-2.065.239;0;9.369.997;9.369.997;302.258;1.201.499;1.201.499;4.449.998;31;27;810;620;-600;-1.036.524;;-2.747.294;-400
119;18;-1.591.409;0;2.096.665;2.096.665;2.096.665;2.236.665;2.236.665;3.727.775;10;6;180;200;-900;-1.071.409;;-2.273.993;-520
120;17;-3.495.867;0;4.376.668;4.376.668;3.126.192;3.279.999;3.279.999;4.099.999;14;8;240;280;-200;-6.695.867;;-2.933.187;-440
121;18;-4.496.146;0;1.969.999;1.969.999;1.790.909;213;213;26.625;11;8;240;220;-200;-7.096.145;;-3.026.259;-420
122;16;-3.574.131;0;2.013.333;2.013.333;2.237.037;1.546.667;1.546.667;3.093.334;9;5;150;180;-300;-3.874.131;;-3.044.558;-440
123;25;-2.783.167;0;7.049.996;7.049.996;261.111;9.216.662;9.216.662;4.850.875;27;19;570;540;-900;-4.883.168;;-3.188.144;-500
124;14;-540.03;0;2.230.001;2.230.001;2.230.001;1.713.333;1.713.333;4.283.332;10;4;120;200;-300;-560.03;;-3.587.328;-380
125;20;-1.822.146;0;4.150.001;4.150.001;259.375;4.876.664;4.876.664;4.063.887;16;12;360;320;-300;-5.622.147;;-3.168.898;-400
126;23;1.399.498;0;4.973.332;4.973.332;3.108.332;554.333;554.333;3.695.553;16;15;450;320;-200;-4.300.502;;-1.694.987;-400
127;14;-5.580.594;0;173;173;21.625;1.633.333;1.633.333;3.266.665;8;5;150;160;-200;-6.680.594;;-2.196.602;-380
128;24;1.247.561;0;4.376.665;4.376.665;2.188.333;5.758.333;5.758.333;3.838.888;20;15;450;400;-200;-525.244;;-1.188.920;-240
129;19;1.885.959;0;4.850.001;4.850.001;2.852.942;498.333;498.333;3.833.331;17;13;390;340;-200;-3.414.041;;-573.944;-220
130;13;-3.774.869;0;3.829.997;3.829.997;3.481.815;110;110;3.666.666;11;3;90;220;0;-6.874.869;;-964.489;-160
131;21;-6.520.757;0;3.279.999;3.279.999;2.049.999;5.126.669;5.126.669;3.943.592;16;13;390;320;-600;-7.620.757;;-2.548.540;-240
132;11;-2.817.325;0;2.259.999;2.259.999;1.883.333;2.589.999;2.589.999;2.877.776;12;9;270;240;-100;-6.917.325;;-1.995.886;-220
133;12;-8.680.736;0;1.053.333;1.053.333;1.504.761;1.146.666;1.146.666;2.866.665;7;4;120;140;-300;-8.280.737;;-3.981.546;-240
134;16;-1.039.586;0;6.666.667;6.666.667;1.333.333;6.266.669;6.266.669;208.889;5;3;90;100;-400;-8.295.864;;-4.566.655;-280
135;16;-8.396.632;0;3.803.331;3.803.331;4.754.163;1.403.333;1.403.333;4.677.775;8;3;90;160;-200;-8.896.631;;-5.491.007;-320
136;16;-7.229.572;0;2.353.332;2.353.332;2.353.332;1.524.998;1.524.998;3.812.495;10;4;120;200;-300;-7.429.571;;-5.632.770;-260
137;27;-1.018.797;0;8.890.001;8.890.001;493.889;3.986.664;3.986.664;3.986.664;18;10;300;360;-900;-7.787.969;;-5.273.065;-420
138;11;-5.609.159;0;1.563.335;1.563.335;2.605.558;1.256.666;1.256.666;3.141.665;6;4;120;120;0;-800.916;;-4.658.749;-360
139;25;-1.251.424;0;342;342;22.8;4.650.001;4.650.001;4.650.001;15;10;300;300;-1200;-6.514.237;;-4.701.117;-520
140;32;4.185.048;0;1.322.334;1.322.334;3.673.149;1.370.333;1.370.333;4.894.046;36;28;840;720;-600;-5.414.952;;-2.184.781;-600
141;52;-3.044.876;0;1.182.333;1.182.333;268.712;1.736.666;1.736.666;4.961.904;44;35;1050;880;-1600;-6.344.877;;-1.347.842;-860
142;14;-1.076.587;0;1.709.999;1.709.999;1.709.999;7.983.331;7.983.331;3.991.666;10;2;60;200;-100;-1.236.588;;-1.359.400;-700
143;32;-4.043.784;0;8.529.996;8.529.996;3.280.767;9.061.658;9.061.658;4.769.294;26;19;570;520;-900;-5.943.784;;-1.046.325;-880
144;18;-7.660.389;0;1.243.334;1.243.334;1.243.334;2.241.668;2.241.668;3.736.113;10;6;180;200;-300;-846.039;;-2.328.118;-700
145;24;-9.782.808;0;5.553.333;5.553.333;3.702.222;5.154.997;5.154.997;5.727.774;15;9;270;300;-900;-6.482.808;;-5.121.689;-760
146;15;-7.064.489;0;1.593.333;1.593.333;1.448.485;165;165;4.124.999;11;4;120;220;-200;-8.464.489;;-5.925.611;-480
147;22;-6.753.967;0;5.050.001;5.050.001;2.657.895;5.136.664;5.136.664;4.669.695;19;11;330;380;-600;-7.853.967;;-7.061.087;-580
148;18;-1.095.638;0;173;173;1.922.222;8.583.322;8.583.322;2.861.107;9;3;90;180;-400;-9.656.376;;-6.471.458;-480
149;20;-1.181.325;0;5.236.662;5.236.662;3.491.108;3.059.998;3.059.998;3.399.998;15;9;270;300;-300;-1.451.325;;-5.175.645;-480
150;18;-8.498.968;0;1.513.334;1.513.334;1.513.334;3.114.999;3.114.999;4.449.999;10;7;210;200;-600;-6.598.967;;-4.918.877;-420
151;27;-8.156.914;0;6.669.999;6.669.999;3.510.526;6.489.996;6.489.996;4.992.304;19;13;390;380;-500;-1.085.692;;-5.137.362;-480
152;16;-244.388;0;5.773.332;5.773.332;4.123.809;3.058.331;3.058.331;4.369.044;14;7;210;280;-300;-434.388;;-3.835.447;-420
153;22;-914.753;0;428;428;3.566.667;3.874.997;3.874.997;4.843.747;12;8;240;240;-800;-5.947.529;;-3.799.270;-500
154;49;1.349.252;0;1728;1728;3.323.077;2.093.999;2.093.999;4.362.497;52;48;1440;1040;-400;-7.307.479;;-3.293.154;-520
155;11;-4.108.658;0;1.363.333;1.363.333;1.704.166;1.043.334;1.043.334;2.608.335;8;4;120;160;-100;-5.908.658;;-2.415.092;-420
156;18;-9.309.333;0;440;440;3.384.615;3.465.001;3.465.001;4.950.001;13;7;210;260;-400;-1.000.933;;-2.645.576;-400
157;14;-5.751.861;0;1.126.667;1.126.667;1.609.524;8.950.001;8.950.001;22.375;7;4;120;140;-100;-7.351.861;;-3.747.071;-360
158;23;-3.918.675;0;4.999.999;4.999.999;3.124.999;5.886.667;5.886.667;4.905.556;16;12;360;320;-400;-6.718.674;;-4.347.855;-280
159;33;7.353.351;0;1.099.666;1.099.666;3.332.321;1.468.332;1.468.332;5.063.215;33;29;870;660;-300;-4.946.649;;-3.147.035;-260
160;18;-8.864.539;0;2.770.001;2.770.001;2.770.001;1.903.332;1.903.332;3.806.664;10;5;150;200;-500;-7.364.538;;-4.098.211;-340
161;25;-5.292.559;0;3.996.667;3.996.667;1.903.175;640.333;640.333;4.268.887;21;15;450;420;-600;-7.992.559;;-3.294.857;-380
162;20;-4.310.331;0;4.109.999;4.109.999;2.417.647;6.721.666;6.721.666;480.119;17;14;420;340;-300;-8.910.331;;-3.006.551;-420
163;19;-7.227.444;0;5.486.663;5.486.663;2.887.717;463;463;4.209.091;19;11;330;380;-200;-1.232.744;;-3.668.304;-380
164;11;-4.888.983;0;1.276.666;1.276.666;1.823.809;1.468.332;1.468.332;4.894.441;7;3;90;140;-100;-6.188.983;;-6.116.771;-340
165;23;1.190.936;0;4.083.332;4.083.332;1.775.362;4.941.664;4.941.664;352.976;23;14;420;460;0;-7.609.064;;-4.105.676;-240
166;26;3.119.849;0;5.546.666;5.546.666;2.411.594;7.216.663;7.216.663;4.009.258;23;18;540;460;-300;-3.880.151;;-2.423.195;-180
167;16;-1.854.816;0;1.633.334;1.633.334;1.361.111;1.921.668;1.921.668;2.745.239;12;7;210;240;-200;-4.354.816;;-1.932.092;-160
168;23;-1.319.477;0;364;364;26;2.288.334;2.288.334;381.389;14;6;180;280;-700;-1.079.477;;-750.498;-260
169;12;-695.866;0;1.346.666;1.346.666;2.693.332;1.284.998;1.284.998;642.499;5;2;60;100;-200;-655.866;;88.125;-280
170;20;-172.46;0;292;292;1.622.222;7.033.327;7.033.327;4.688.885;18;15;450;360;-300;-682.46;;-187.578;-340
171;42;-2.498.267;0;9.736.661;9.736.661;3.357.469;1.198.666;1.198.666;4.610.253;29;26;780;580;-1100;-5.098.267;;-1.592.107;-500
172;16;-9.733.524;0;2.313.331;2.313.331;1.927.776;1.498.333;1.498.333;2.996.667;12;5;150;240;-500;-8.633.524;;-3.561.784;-560
173;15;-9.803.762;0;1.943.333;1.943.333;2.776.189;0;0;NaN;7;0;0;140;-400;-7.203.762;;-5.682.855;-500
174;25;-1066.05;0;2.716.666;2.716.666;2.263.888;4.366.667;4.366.667;4.366.667;12;10;300;240;-800;-8.060.504;;-7.345.184;-620
175;18;-1.003.008;0;3.010.001;3.010.001;2.736.365;2.198.334;2.198.334;3.140.477;11;7;210;220;-600;-8.330.085;;-5.759.640;-680
176;20;-5.780.714;0;2.406.666;2.406.666;1.851.282;2.973.332;2.973.332;3.303.702;13;9;270;260;-700;-4.080.713;;-6.580.252;-600
177;19;-7.365.242;0;4.270.001;4.270.001;3.050.001;3.629.999;3.629.999;4.033.332;14;9;270;280;-500;-7.865.242;;-5.988.182;-600
178;28;-2.129.046;0;6.173.329;6.173.329;3.858.331;558;558;5.072.727;16;11;330;320;-1100;-1.679.046;;-4.069.503;-740
179;21;-1.232.131;0;2.846.666;2.846.666;3.162.963;2.984.999;2.984.999;4.974.998;9;6;180;180;-800;-7.921.315;;-3.502.028;-740
180;15;-4.364.297;0;153;153;1.390.909;1.458.333;1.458.333;2.083.333;11;7;210;220;-300;-5.664.297;;-4.174.286;-680
181;14;-816.355;0;1.243.333;1.243.333;1.381.481;2.633.333;2.633.333;1.316.666;9;2;60;180;-400;-656.355;;-3.181.414;-620
182;18;-5.489.299;0;2.793.333;2.793.333;2.327.777;1.774.999;1.774.999;2.958.332;12;6;180;240;-200;-7.689.298;;-2.806.226;-560
183;17;-4.076.402;0;2.453.332;2.453.332;175.238;4.018.331;4.018.331;4.018.331;14;10;300;280;-300;-320.764;;-3.195.697;-400
184;15;-5.415.812;0;5.496.666;5.496.666;4.228.205;2.826.667;2.826.667;5.653.334;13;5;150;260;-400;-5.515.812;;-4.032.433;-320
