Iteration;Decisions;Reward Total;Time;ShortestPickupTime;LongestPickupTime;AveragePickupTime;ShortestDropoffTime;LongestDropoffTime;AverageDropoffTime;TotalPickups;TotalDropoffs;Reward Drop off;Reward Pick up;Reward Same Location;Reward Leftover
54;11;-831.0419;0;217.9999;217.9999;21.79999;131.6666;131.6666;32.91666;10;4;120;200;-100;-1051.042
55;16;-1010.006;0;139;139;17.37499;135.3331;135.3331;33.83329;8;4;120;160;-400;-890.0062
56;18;-895.3758;0;251.3333;251.3333;22.84849;249.6667;249.6667;35.66667;11;7;210;220;-600;-725.3758
57;14;-1158.011;0;252.0003;252.0003;50.40005;88.33328;88.33328;44.16664;5;2;60;100;-300;-1018.012
58;14;-404.4919;0;245.6666;245.6666;24.56666;107.5;107.5;26.87501;10;4;120;200;-100;-624.4918
59;19;-24.17631;0;673.3331;673.3331;39.60783;635.4998;635.4998;52.95831;17;12;360;340;-400;-324.1763
60;16;-1087.117;0;104.6667;104.6667;14.95238;70.49998;70.49998;17.625;7;4;120;140;-700;-647.1174
61;18;-170.7023;0;386.9998;386.9998;22.7647;553.6663;553.6663;42.58972;17;13;390;340;-400;-500.7023
62;22;-298.1448;0;460.9998;460.9998;27.11763;331.8331;331.8331;36.87035;17;9;270;340;-400;-508.1448
63;17;-622.686;0;299.3333;299.3333;21.38095;318.3333;318.3333;35.37036;14;9;270;280;-200;-972.686
64;20;-357.9708;0;299;299;21.35714;367.6666;367.6666;40.85185;14;9;270;280;-300;-607.9708
65;18;-1085.02;0;117.6667;117.6667;14.70834;225.5;225.5;45.09999;8;5;150;160;-100;-1295.02
66;27;-447.751;0;682.0002;682.0002;34.10001;951.6662;951.6662;59.47914;20;16;480;400;-600;-727.7511
67;23;-535.6029;0;320.3333;320.3333;16.85965;724.3331;724.3331;48.28887;19;15;450;380;-300;-1065.603
68;20;-365.4978;0;506.6665;506.6665;28.14814;495.9998;495.9998;41.33332;18;12;360;360;-700;-385.4978
69;26;744.0417;0;581.9998;581.9998;22.38461;703.3332;703.3332;35.16666;26;20;600;520;0;-375.9583
70;27;323.2371;0;620.9999;620.9999;24.83999;730.8329;730.8329;33.21968;25;22;660;500;-300;-536.7629
71;22;-532.064;0;407.3334;407.3334;22.62963;407.1668;407.1668;50.89585;18;8;240;360;-500;-632.0641
72;42;248.3824;0;1528;1528;36.38095;1797.333;1797.333;51.35238;42;35;1050;840;-1000;-641.6176
73;12;-417.6027;0;351.6667;351.6667;29.30556;163.3332;163.3332;40.8333;12;4;120;240;-100;-677.6028
74;40;594.0218;0;982.9999;982.9999;26.56756;1363;1363;40.08823;37;34;1020;740;-700;-465.9781
75;14;-449.1345;0;234.3333;234.3333;21.30303;362.0001;362.0001;72.40002;11;5;150;220;-100;-719.1345
76;28;-216.9676;0;610.333;610.333;30.51665;954.9995;954.9995;53.05553;20;18;540;400;-600;-556.9676
77;12;-1631.675;0;159.3334;159.3334;26.55556;42.99998;42.99998;42.99998;6;1;30;120;-300;-1481.675
78;16;-341.3766;0;427.6665;427.6665;25.15685;307.9999;307.9999;30.79999;17;10;300;340;-300;-681.3766
79;11;-814.8159;0;167.6666;167.6666;23.95237;67.83329;67.83329;33.91665;7;2;60;140;-400;-614.8159
80;17;-995.7383;0;340.6669;340.6669;34.06669;195.5;195.5;32.58334;10;6;180;200;-600;-775.7383
81;16;-372.7851;0;148.6667;148.6667;14.86667;209.6665;209.6665;34.94442;10;6;180;200;-100;-652.7851
82;15;-72.85843;0;292.3332;292.3332;22.48717;390.1665;390.1665;35.46968;13;11;330;260;-100;-562.8584
83;16;-382.1578;0;251.3332;251.3332;22.84847;158.1667;158.1667;31.63333;11;5;150;220;-200;-552.1578
84;31;-712.9372;0;728.0002;728.0002;36.40001;760.6664;760.6664;47.54165;20;16;480;400;-1300;-292.9372
85;31;95.99185;0;547.9999;547.9999;19.57143;828.3329;828.3329;34.51387;28;24;720;560;-400;-784.0082
86;21;-713.1895;0;488.3332;488.3332;25.70175;455.9998;455.9998;45.59998;19;10;300;380;-600;-793.1895
87;14;-559.4896;0;264.3334;264.3334;24.03031;361.8333;361.8333;60.30555;11;6;180;220;-200;-759.4896
88;18;-941.3617;0;149.6667;149.6667;18.70834;272.1665;272.1665;45.36108;8;6;180;160;-500;-781.3617
89;33;142.0854;0;612.9998;612.9998;21.89285;966.8329;966.8329;40.28471;28;24;720;560;-600;-537.9145
90;20;-147.2256;0;349.3332;349.3332;20.54901;390.1663;390.1663;35.46966;17;11;330;340;-100;-717.2256
91;22;-627.556;0;489.3332;489.3332;25.75438;412.9999;412.9999;31.76922;19;13;390;380;-500;-897.556
92;17;-327.7465;0;102;102;9.272726;107.6667;107.6667;26.91668;11;4;120;220;-300;-367.7465
93;17;-821.4935;0;274.6666;274.6666;27.46666;277.9998;277.9998;39.71426;10;7;210;200;-500;-731.4935
94;17;-463.1259;0;374.3333;374.3333;34.0303;242.8333;242.8333;30.35416;11;8;240;220;-400;-523.1259
95;15;-52.98129;0;331.6666;331.6666;23.69047;242.5002;242.5002;24.25002;14;10;300;280;-200;-432.9813
96;15;-732.9865;0;198.6667;198.6667;22.07408;48.99999;48.99999;16.33333;9;3;90;180;-400;-602.9866
97;28;-1200.483;0;550.3334;550.3334;32.37255;698.9996;698.9996;49.92855;17;14;420;340;-600;-1360.483
98;20;-1106.457;0;253.9998;253.9998;28.22219;215.8332;215.8332;43.16664;9;5;150;180;-600;-836.4573
99;15;-741.6386;0;160;160;19.99999;117.3334;117.3334;29.33335;8;4;120;160;-300;-721.6386
100;20;-439.0771;0;350.6665;350.6665;25.04761;351.5001;351.5001;31.95455;14;11;330;280;-600;-449.0771
101;11;-438.7669;0;128;128;12.8;142.8333;142.8333;28.56667;10;5;150;200;-100;-688.767
102;13;-101.1031;0;541.6663;541.6663;41.66664;448.4999;448.4999;56.06249;13;8;240;260;-100;-501.103
103;10;-848.0442;0;71.6666;71.6666;23.88887;38.00001;38.00001;19;3;2;60;60;-100;-868.0442
104;20;-936.1815;0;204.6667;204.6667;17.05556;189.1665;189.1665;47.29164;12;4;120;240;-400;-896.1815
105;25;-116.2302;0;1026.333;1026.333;44.62317;791.4991;791.4991;46.55877;23;17;510;460;-100;-986.23
106;17;-826.5234;0;357.6667;357.6667;35.76667;173.3331;173.3331;57.7777;10;3;90;200;-400;-716.5234
